"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.636627870E-1,-6.432771683E-3,5.615726113E-3,-2.052688599E-2
8.737030700E-1,-6.193369627E-3,2.383270860E-2,3.623008728E-3
8.837128360E-1,-1.548895240E-2,8.511543274E-3,-1.025009155E-2
8.937226010E-1,1.327458024E-2,-1.974076033E-3,-1.923847198E-2
9.037628840E-1,-5.922764540E-3,-3.062993288E-3,-4.696846008E-2
9.137726500E-1,3.213360906E-2,9.831011295E-3,2.027988434E-2
9.237824160E-1,3.406405449E-3,-5.749195814E-3,-2.243328094E-2
9.338226990E-1,-1.512736082E-3,-2.640429139E-2,-3.144264221E-3
9.438629820E-1,1.296710968E-2,-8.873134851E-3,1.147079468E-2
9.538727480E-1,-1.075443625E-2,-1.152694225E-3,-3.579902649E-2
9.638825130E-1,-5.844831467E-3,1.418918371E-3,2.649211884E-2
9.738922790E-1,-3.422152996E-2,3.819674253E-3,1.223850250E-2
9.839020440E-1,1.847285032E-2,-3.093361855E-3,-1.153564453E-2
9.939423280E-1,1.370957494E-2,-4.279613495E-4,3.158378601E-2
1.003982611E0,4.054099321E-3,1.202377677E-2,4.562091827E-2
1.013992377E0,3.706395626E-2,-1.326805353E-2,1.693916321E-2
1.024093695E0,1.276755333E-2,2.389988303E-2,2.196407318E-2
1.039047308E0,-1.629996300E-2,-6.149649620E-3,4.986190796E-2
1.049057074E0,1.278567314E-2,-5.333155394E-3,3.017902374E-2
1.059097357E0,-3.013563156E-2,-2.279216051E-2,-2.654457092E-2
1.069137640E0,-9.756386280E-4,2.835839987E-3,-1.163482666E-2
1.079147406E0,-1.025050879E-3,3.721266985E-3,-9.611129761E-2
1.089157171E0,3.481030464E-3,-3.059235215E-2,-8.434200287E-2
1.099166937E0,4.156649113E-2,1.864403486E-2,-6.362342834E-2
1.109207220E0,3.207117319E-3,4.778951406E-3,-4.359912872E-2
1.119247503E0,7.971554995E-3,-9.515792131E-3,-1.926898956E-2
1.129257269E0,1.717066765E-2,-4.200369120E-3,4.747390747E-3
1.139267035E0,1.702067256E-2,2.055916190E-2,6.144428253E-2
1.149307318E0,1.178553700E-2,-2.125778794E-2,-1.030635834E-2
1.159317084E0,-4.036742449E-2,-1.503229141E-2,-2.876091003E-2
1.169326849E0,-6.299662590E-2,-9.448438883E-3,-6.130313873E-2
1.179367132E0,-5.297720432E-3,-3.323861957E-2,-3.667736053E-2
1.189376898E0,1.376417279E-2,-1.103699207E-2,-3.098678589E-2
1.199417181E0,-5.384445190E-3,1.499301195E-2,-2.090072632E-2
1.209426947E0,2.317956090E-2,2.127107978E-2,-1.590442657E-2
1.219436712E0,3.214576840E-2,1.357975602E-2,5.528831482E-2
1.229476996E0,-1.096427441E-2,-1.729363203E-2,-6.768226624E-3
1.239486761E0,-3.438958526E-2,-1.010346413E-2,-1.129055023E-2
1.249527044E0,-3.376701474E-2,-3.678059578E-2,-5.852317810E-2
1.259536810E0,9.457945824E-3,-1.728111506E-2,-4.340076447E-2
1.269546576E0,-4.878938198E-3,1.040649414E-2,-2.845191956E-2
1.279556341E0,-9.355872869E-3,-3.426772356E-2,1.439762115E-2
1.289596625E0,4.563033581E-4,-4.929572344E-2,1.083545685E-1
1.299606390E0,-2.821767330E-2,-9.389519691E-3,1.681995392E-1
1.309646673E0,9.982615709E-3,1.912516356E-2,1.607370377E-1
1.319656439E0,-9.036928415E-3,1.293742657E-2,1.349954605E-1
1.329696722E0,-9.157270193E-3,-4.176855087E-3,7.189559937E-2
1.339706488E0,-1.358085871E-2,-4.818677902E-3,3.380775452E-2
1.349716253E0,2.430564165E-2,-1.887339354E-2,-3.688526154E-2
1.359756537E0,-9.120285511E-3,-2.359652519E-2,6.999015808E-3
1.369766302E0,-1.854458451E-2,-1.959246397E-2,-1.584529877E-2
1.379776068E0,5.285769701E-3,-1.634228230E-2,-9.073925018E-2
1.389785834E0,4.760190845E-2,5.201268196E-2,1.086425781E-2
1.399856634E0,2.297931910E-2,2.376669645E-2,-2.160167694E-2
1.409866400E0,-1.532769203E-2,5.098998547E-3,7.721900940E-3
1.419876166E0,-2.449175715E-2,2.431297302E-2,-2.959346771E-2
1.429916449E0,1.364564896E-2,9.224414825E-3,-4.969596863E-3
1.439926214E0,1.374536753E-2,8.046925068E-3,4.987716675E-3
1.449935980E0,1.868921518E-2,2.689361572E-3,-2.764701843E-2
