"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.665877910E-1,1.441464573E-2,-3.183466196E-2,1.624708176E-1
7.766280200E-1,1.664676517E-2,-2.585536242E-2,2.141857147E-2
7.866682490E-1,2.259855717E-2,-1.334756613E-2,-8.855152130E-2
7.967389960E-1,3.249286115E-2,1.211398840E-2,-1.242494583E-1
8.067792260E-1,4.202271253E-2,2.272617817E-2,-1.215391159E-1
8.168194550E-1,2.935344726E-2,4.905003309E-2,-2.537822723E-2
8.268596840E-1,3.174427897E-2,6.344693899E-2,2.002162933E-1
8.368999140E-1,4.608885199E-2,5.878102779E-2,3.611812592E-1
8.469401430E-1,3.210448474E-2,5.651140213E-2,4.286441803E-1
8.569803720E-1,7.171344012E-3,6.306564808E-2,3.714361191E-1
8.670206010E-1,-7.033705711E-3,3.087800741E-2,2.661867142E-1
8.770913480E-1,-1.533780247E-2,9.706795216E-3,1.465234756E-1
8.871315780E-1,-6.229206920E-3,3.934115171E-2,4.365825653E-2
8.971718070E-1,8.062362671E-3,3.870010376E-3,-8.303165436E-2
9.072120370E-1,-2.523393184E-2,-5.900859833E-5,-1.185674667E-1
9.172522660E-1,-4.812801629E-2,-6.696504354E-2,-7.229328156E-2
9.272924950E-1,3.536934033E-2,3.867727518E-2,-4.740142822E-2
9.373327240E-1,-1.702491939E-2,4.422461987E-2,-5.581569672E-2
9.473729540E-1,-1.410262287E-2,-1.015645266E-2,-2.333831787E-2
9.574437010E-1,-2.098222077E-2,-5.522459745E-2,-1.461410522E-2
9.674839300E-1,-9.845137596E-3,-5.644643307E-2,8.565902710E-3
9.775241600E-1,1.986527443E-2,-6.375598907E-2,2.229881287E-2
9.875643890E-1,1.099420339E-2,-7.529473305E-2,2.655315399E-2
9.976046180E-1,1.838926971E-2,-1.174020767E-1,4.763793945E-2
1.007644847E0,1.500644535E-2,-8.983731270E-2,6.620216370E-2
1.017685076E0,1.770280302E-3,-9.379953146E-2,6.802368164E-2
1.027725307E0,1.244723797E-3,-7.253092527E-2,3.150367737E-2
1.037765536E0,-2.674832940E-3,-9.145641327E-2,-5.279064178E-2
1.047836283E0,6.795354187E-3,-1.049242616E-1,-3.161525726E-2
1.057876512E0,2.934016287E-3,-9.407961369E-2,8.542728424E-2
1.067916741E0,-6.499981880E-2,-5.468559265E-2,2.575836182E-1
1.077956970E0,-5.660848320E-2,-4.395800829E-2,3.124790192E-1
1.087997199E0,5.078013986E-2,1.630425453E-2,1.875648499E-1
1.098037429E0,-2.067768574E-2,1.913082600E-2,9.837627411E-2
1.108077659E0,8.762250096E-2,1.327525973E-1,7.341003418E-2
1.118117888E0,-4.130974412E-2,5.363368988E-2,-4.690170288E-2
1.128188635E0,7.557946444E-2,2.542293072E-2,-3.544712067E-2
1.138228864E0,3.865340352E-2,5.290842056E-2,3.385543823E-4
1.148269093E0,-5.131798983E-2,7.714855671E-2,9.379386902E-2
1.158309322E0,3.822641075E-2,1.210967302E-1,-2.576065063E-2
1.168349552E0,6.583480537E-2,5.378365517E-3,5.938529968E-3
1.178389782E0,5.672061443E-2,1.526498795E-2,-2.834320068E-3
1.188430011E0,3.838838637E-2,2.091586590E-2,-9.063720703E-3
1.198500758E0,-2.018651366E-2,4.075992107E-2,8.716583252E-3
1.208540987E0,5.473610759E-2,3.168416023E-2,-3.570652008E-2
1.218581216E0,2.442908287E-2,-4.649114609E-2,1.815509796E-2
1.228621445E0,6.243354082E-2,-9.835469723E-2,6.994247437E-2
1.238661675E0,-2.074423432E-2,-1.240270138E-1,1.047401428E-1
1.248701904E0,2.345393598E-2,-1.039217710E-1,1.492414474E-1
1.258742134E0,-6.024256349E-3,-8.817982674E-2,9.299945831E-2
1.268812881E0,-3.116568923E-2,-2.808678150E-2,-4.269695282E-2
1.278853110E0,-2.324993908E-2,-2.462935448E-2,-7.323551178E-2
1.288893339E0,-8.703708649E-3,-4.100990295E-2,-7.032394409E-2
1.298933568E0,3.413344920E-2,-5.963575840E-2,-5.060195923E-2
1.308973798E0,1.131929457E-2,-6.892251968E-2,2.416992188E-2
1.319014027E0,5.077767372E-2,-8.727514744E-2,3.436279297E-2
1.329054257E0,3.220000863E-2,-8.123016357E-2,5.864810944E-2
1.339094486E0,-1.480288804E-2,-7.675015926E-2,1.210365295E-1
1.349165233E0,4.590469599E-2,-2.655148506E-2,1.519851685E-1
1.359205462E0,2.404041588E-2,1.093149185E-4,1.419639587E-1
1.369245691E0,3.626890481E-2,3.660058975E-2,1.124725342E-1
1.379285921E0,3.701403737E-2,-5.805611610E-3,1.837825775E-2
1.389326150E0,3.320147097E-2,7.310271263E-3,-4.689502716E-2
1.399366379E0,3.398737311E-2,1.705682278E-2,-8.319664001E-2
1.409406609E0,1.234349608E-2,3.918516636E-2,-4.116058350E-3
1.419446838E0,2.970312536E-2,6.269288063E-2,8.715057373E-2
