"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.886471630E-1,3.471846879E-2,-2.661627531E-2,3.248310089E-2
7.986471630E-1,9.310916066E-3,-3.434538841E-2,1.434326172E-3
8.086471630E-1,-1.078048348E-2,-5.433207750E-2,-1.523685455E-2
8.186471630E-1,-1.603735983E-2,-5.471789837E-2,-2.237987518E-2
8.286471630E-1,-3.518468142E-2,-4.773771763E-2,-3.210067749E-3
8.386471630E-1,-3.922668099E-2,-3.845393658E-2,2.552604675E-2
8.486471630E-1,-1.366193593E-2,-2.234941721E-2,2.314567566E-2
8.586471630E-1,-3.810971975E-2,-4.053515196E-2,5.194473267E-2
8.686474290E-1,-3.551986814E-2,-4.254251719E-2,5.204391479E-2
8.786474290E-1,3.315418959E-3,1.434987783E-2,9.770107269E-2
8.886474290E-1,4.219268262E-2,2.692174911E-2,1.270780563E-1
8.986474290E-1,6.500199437E-2,4.502302408E-2,1.470060349E-1
9.086474290E-1,7.213011384E-2,3.995668888E-2,1.479043961E-1
9.286471620E-1,5.373816192E-2,2.252668142E-2,4.475975037E-2
9.386471620E-1,2.777899802E-2,3.876030445E-3,2.446460724E-2
9.486471620E-1,9.141340852E-3,-1.516497135E-2,-6.998538971E-2
9.586471620E-1,1.444385946E-2,-2.230608463E-2,-5.905151367E-2
9.686471620E-1,7.578447461E-3,-2.251386642E-3,-9.364795685E-2
9.786473950E-1,5.400612950E-3,2.078902721E-2,-7.798671722E-2
9.886473950E-1,-3.528701514E-2,2.282464504E-2,-9.586334229E-2
9.986473950E-1,-3.563103080E-2,3.473842144E-2,-7.542991638E-2
1.008647395E0,-1.064687967E-4,1.104533672E-2,-7.894134521E-2
1.018647395E0,-1.022667438E-2,1.384586096E-2,-6.328773499E-2
1.038647161E0,6.052345037E-3,3.143966198E-3,-5.590152740E-2
1.048647161E0,-1.073928177E-2,2.319228649E-2,-5.459499359E-2
1.058647427E0,-3.028616309E-3,4.025208950E-2,-6.827545166E-2
1.068647427E0,-4.331238568E-3,4.462361336E-2,-8.427524567E-2
1.078647427E0,-1.710203290E-2,4.106163979E-2,-9.779834747E-2
1.088647427E0,-3.407174721E-2,4.225039482E-2,-1.376514435E-1
1.098647427E0,-2.165296674E-2,5.542767048E-2,-1.511659622E-1
1.108647427E0,-1.635100693E-2,4.718041420E-2,-1.503190994E-1
1.118647493E0,5.438528955E-3,8.499026299E-2,-1.950120926E-1
1.128647493E0,-6.957724690E-3,3.617227077E-2,-2.133064270E-1
1.138647493E0,-2.691904828E-2,5.495595932E-2,-2.077102661E-1
1.148647493E0,-3.948558122E-2,5.732727051E-2,-1.758117676E-1
1.158647493E0,-5.636297911E-2,3.370082378E-2,-1.176109314E-1
1.178647226E0,-4.908390343E-2,1.301240921E-2,-2.304553986E-2
1.188647226E0,-4.163499177E-2,1.544260979E-2,-8.450222015E-2
1.198647226E0,-2.069986425E-2,5.438458920E-2,-1.529235840E-1
1.208647226E0,-4.918614402E-3,7.411170006E-2,-2.524518967E-1
1.218647226E0,-1.809786633E-2,6.330525875E-2,-1.221952438E-1
1.228647459E0,-2.199964225E-2,1.003861427E-2,-1.165027618E-1
1.238647459E0,-3.346941620E-2,9.764671326E-3,-1.299934387E-1
1.248647459E0,-4.219266027E-2,1.213884354E-2,-1.482954025E-1
1.258647459E0,-2.676455490E-2,-4.881024361E-3,-1.043148041E-1
1.268647459E0,-6.112014502E-2,5.071783066E-2,-2.929782867E-2
1.288647225E0,-2.170567401E-3,1.172900200E-2,-1.088771820E-1
1.298647225E0,2.328114118E-3,5.547881126E-3,-1.081190109E-1
1.308647225E0,-3.522384912E-2,2.109615803E-1,-1.601390839E-1
1.318647225E0,4.171586782E-2,1.892499924E-1,-1.879501343E-1
1.328647225E0,5.436556041E-2,1.013760567E-1,-2.299242020E-1
1.338647691E0,1.337739546E-2,3.777503967E-2,-2.072858810E-1
1.348647691E0,-5.091926455E-2,-7.472491264E-2,-1.536912918E-1
1.368647690E0,-9.673833847E-2,-9.640383720E-2,-1.192054749E-1
1.378647690E0,-1.108604670E-1,-5.986952782E-2,-1.045894623E-1
1.388647690E0,-1.099862307E-1,-3.260564804E-2,-9.000778198E-2
1.398647690E0,-7.753101736E-2,-2.481615543E-2,-8.734798431E-2
1.408647690E0,-6.661977619E-2,4.309177399E-3,-5.114078522E-2
1.418647890E0,-3.168754280E-2,-1.009583473E-2,-3.162956238E-2
1.428647890E0,-2.566599101E-2,3.029215336E-2,-2.405261993E-2
1.438647890E0,-5.331821740E-3,3.171455860E-2,-4.511547089E-2
1.448647890E0,-4.159398377E-3,3.759348392E-2,-7.810211182E-2
1.458647890E0,4.415169358E-3,6.740999222E-2,-1.015043259E-1
1.468647890E0,3.395766020E-3,9.893381596E-2,-1.439647675E-1
1.478648123E0,6.951452047E-2,8.432972431E-2,-1.719703674E-1
1.488648123E0,1.480267197E-2,5.767405033E-2,-1.903934479E-1
1.498648123E0,-4.652619362E-3,6.992840767E-2,-1.921396255E-1
1.508648123E0,-3.179500252E-2,8.032453060E-2,-1.963539124E-1
1.518648123E0,-1.802784204E-2,6.902730465E-2,-1.718120575E-1
1.538647889E0,4.525952041E-2,4.611182213E-2,-1.011285782E-1
1.548647889E0,3.153809905E-2,-1.667261124E-3,-1.315822601E-1
1.558648155E0,-1.640294492E-2,-2.470946312E-2,-1.573619843E-1
1.568648155E0,-2.125139534E-2,-1.328849792E-1,-1.689167023E-1
1.578648155E0,-7.617825270E-2,-1.113407612E-1,-1.545143127E-1
1.588648155E0,-1.160911173E-1,-5.389511585E-2,-1.356344223E-1
1.598648155E0,-1.375768185E-1,-3.623771667E-2,-1.383972168E-1
1.608648155E0,-8.794367313E-2,4.141986370E-2,-1.267833710E-1
1.618648421E0,-7.129105926E-2,5.573654175E-2,-1.126146317E-1
1.628648421E0,-1.382227242E-2,2.574431896E-2,-1.150360107E-1
1.648647954E0,-1.362816989E-2,-7.893407345E-2,-1.939086914E-1
1.658647954E0,-2.514472604E-2,-8.965396881E-2,-2.610130310E-1
1.668647954E0,-3.697267175E-2,-1.039162874E-1,-2.875843048E-1
1.678647954E0,-3.659427166E-3,-1.114032269E-1,-3.263959885E-1
1.688647954E0,-2.380913496E-2,-6.658136845E-2,-3.223915100E-1
1.698647954E0,-6.107333302E-2,-9.252583981E-2,-2.897987366E-1
1.708647954E0,-6.248034537E-2,-1.187825203E-2,-2.190561295E-1
1.728647920E0,-7.301038504E-2,4.169368744E-2,-8.921718597E-2
1.738647920E0,-6.804119051E-2,2.698230743E-2,-7.297229767E-2
1.748647920E0,-3.938971460E-2,-3.496098518E-2,-5.890083313E-2
1.758647920E0,-4.262159765E-2,-4.450106621E-2,-6.396579742E-2
1.768647920E0,-6.527674198E-2,-6.105399132E-2,-5.708503723E-2
1.788647686E0,4.495665431E-2,-1.080024242E-2,-6.272697449E-2
1.798647686E0,9.050869942E-2,-4.058659077E-2,-4.883289337E-2
1.808647686E0,8.697912097E-2,4.585027695E-3,-8.054924011E-2
1.818647686E0,1.004340351E-1,-9.430348873E-2,-1.002349854E-1
1.828647686E0,-3.750756383E-3,-6.986749172E-2,-1.033191681E-1
1.838647686E0,-6.133267283E-2,-5.928134918E-2,-9.925746918E-2
1.848647686E0,-1.101697981E-1,-6.757950783E-2,-1.287078857E-1
1.868647719E0,-1.467809677E-1,-1.827468872E-1,-1.562795639E-1
1.878647719E0,-1.026346534E-1,-1.008206606E-1,-1.283493042E-1
1.888648019E0,-3.890609741E-2,-3.526473045E-2,-8.853340149E-2
1.898648019E0,2.355769277E-2,-2.100980282E-2,-9.410858154E-2
1.908648019E0,5.874313414E-2,-4.652714729E-2,-1.114988327E-1
1.928647752E0,1.406621933E-1,-1.838555336E-1,-9.365558624E-2
1.938647752E0,1.028629243E-1,-1.248189211E-1,-3.248786926E-2
1.948647752E0,7.648932934E-2,-5.952632427E-2,2.167701721E-3
1.958647752E0,4.547448456E-2,-1.846671104E-2,-5.889701843E-2
1.978647718E0,7.231679559E-2,2.287971973E-2,-1.635560989E-1
1.988647718E0,9.889696538E-2,-1.424700022E-1,-8.773422241E-2
1.998647718E0,8.642686903E-2,-8.027470112E-2,3.088951111E-2
2.008647718E0,5.576016009E-2,3.773808479E-3,7.762813568E-2
2.018647718E0,5.065989494E-2,1.103663445E-2,3.605556488E-2
2.038647484E0,2.936340868E-2,1.225709915E-2,8.948326111E-3
2.048647484E0,3.427588940E-2,-1.730504632E-1,2.549552917E-2
2.058647484E0,-1.063667238E-2,-9.404945374E-2,-1.337718964E-2
2.068647484E0,-2.271540463E-2,-2.459418774E-2,-5.007553101E-2
2.078647484E0,-2.002607286E-2,3.360128403E-2,-1.298761368E-1
2.088647484E0,-4.317498207E-2,1.268219948E-1,-1.975336075E-1
2.098647484E0,-4.263958335E-2,1.409461498E-1,-2.002220154E-1
2.108647484E0,-7.077670097E-2,1.700241566E-1,-1.596136093E-1
2.118647750E0,-8.506238461E-2,9.664058685E-2,-1.235980988E-1
2.128647750E0,-1.345238686E-1,-5.714726448E-2,-6.113910675E-2
2.138647750E0,-1.511021554E-1,-1.429751515E-1,-3.709888458E-2
2.148647750E0,-1.875595450E-1,-2.249099612E-1,-1.323509216E-2
2.158647750E0,-1.617672145E-1,-2.283310294E-1,-1.590728760E-2
2.178647450E0,-1.106842160E-1,-1.439477205E-1,-7.864952087E-2
2.198647150E0,-4.775652289E-2,1.101350784E-2,-2.167034149E-2
2.208647150E0,-6.001517177E-2,4.303944111E-2,-1.716804504E-2
2.218647150E0,-5.189248919E-2,4.167425632E-2,-3.065109253E-3
2.228647383E0,-5.968290567E-2,6.893038750E-3,-5.598449707E-2
2.238647383E0,-5.979394913E-2,-1.354277134E-2,-3.226947784E-2
2.248647383E0,-7.902944088E-2,-6.260257959E-2,-5.165767670E-2
2.258647383E0,-1.035692692E-1,-1.239039898E-1,-3.990364075E-2
2.268647383E0,-1.600273550E-1,-1.400910020E-1,-9.517097473E-2
2.288647149E0,-1.513469815E-1,-1.257787347E-1,-4.054260254E-2
2.298647149E0,-1.259526610E-1,-9.045898914E-2,7.130622864E-3
2.308647149E0,-5.004090071E-2,-7.585275173E-2,1.623058319E-2
2.318647149E0,-2.664393187E-2,-6.261479855E-2,1.583290100E-2
2.328647149E0,5.961212516E-2,-2.893853188E-2,-2.759933472E-2
2.338647149E0,1.025255024E-1,-1.333630085E-2,-5.901336670E-2
2.348647149E0,1.622299552E-1,3.582954407E-3,-9.757900238E-2
2.358647149E0,1.575609446E-1,8.362114429E-3,-1.074657440E-1
2.368647415E0,1.134163886E-1,2.963030338E-2,-1.077861786E-1
2.378647415E0,9.339088202E-2,-8.987486362E-3,-1.224613190E-1
2.388647415E0,2.346783876E-3,-3.495234251E-2,-1.252050400E-1
2.398647415E0,-4.137408733E-2,-9.360986948E-2,-1.088180542E-1
2.408647415E0,-1.095651388E-1,-1.055421233E-1,-1.355848312E-1
2.428647148E0,-1.668574214E-1,-1.441362500E-1,-1.747846603E-1
2.438647414E0,-1.482053101E-1,-9.489119053E-2,-1.824150085E-1
2.448647414E0,-5.337029696E-2,-3.394830227E-2,-1.660871506E-1
2.458647414E0,-3.502392769E-2,-3.845846653E-2,-1.425704956E-1
2.468647414E0,-2.097010612E-3,-7.443368435E-3,-6.881046295E-2
2.478647647E0,1.243644953E-2,-8.370935917E-3,-2.375507355E-2
