,,Name,Username,"User Profile","Tweet ID",Retweets,Comments,Favorites,"Is Retweet?",Date,"Tweet Text","Tweet Source","Status URL"
16,,lovebird..,Deden51910377,https://www.twitter.com/Deden51910377,"ID: 1378366028816609280",6,1,70,no,"2021-04-03 15:17:24","@KemensetnegRI Ini bukan kerumunan ingat... Kecuali fpi dan MRS..baru di sebut kerumunan...","Twitter for Android",https://www.twitter.com/Deden51910377/status/1378366028816609280
17,,dendr0p,den_drop,https://www.twitter.com/den_drop,"ID: 1378369679891173378",341,223,4349,no,"2021-04-03 15:31:55","@KemensetnegRI Sumbangsih ata gledek ama bininya buat indonesia apaan yak?","Twitter for Android",https://www.twitter.com/den_drop/status/1378369679891173378
18,,"J∆CK P!PPO™",J4ck_Pipp0,https://www.twitter.com/J4ck_Pipp0,"ID: 1378429507934167040",6,0,96,no,"2021-04-03 19:29:39","@KemensetnegRI Urgensi nya apa min? Kasi kisi2 aja","Twitter for Android",https://www.twitter.com/J4ck_Pipp0/status/1378429507934167040
19,,Avakocheng_bisaapa,ABisaapa,https://www.twitter.com/ABisaapa,"ID: 1378487313815064578",17,1,205,no,"2021-04-03 23:19:21","@KemensetnegRI Tamunya berapa banyak? Pada jaga jarak nggak? Kalo nggak berarti abis ini harusnya ada yang didenda atau ditangkap dooong. Yekan yekan...","Twitter Web App",https://www.twitter.com/ABisaapa/status/1378487313815064578
20,,petani#pahlawan,achmadmakrus121,https://www.twitter.com/achmadmakrus121,"ID: 1378490163488153606",8,0,85,no,"2021-04-03 23:30:40","@KemensetnegRI Masih ada hubungan darah? 🤔 @kaesang mbok yo di kandani bapake, opo untunge nekani ijab-qobul  ngono kui? G kenemenen aku g protes ngeneki, iseh iki aku protes kaleh njenengan ndoro @jokowi , Unfaedah, nggarai KECEMBURUAN SOSIAL melimpah lo ndoro 🙏 Ngapunten","Twitter for Android",https://www.twitter.com/achmadmakrus121/status/1378490163488153606
21,,"himura 🏴🏴",himura89517038,https://www.twitter.com/himura89517038,"ID: 1378490166235471872",2,1,31,no,"2021-04-03 23:30:41","@arief2486 @KemensetnegRI Malah bikin borok negeri terlihat oleh dunia luar, kalau negeri ini ga serius tangani pandemi, dan program PPKM/PSBB","Twitter for Android",https://www.twitter.com/himura89517038/status/1378490166235471872
22,,"kumaha aing",Bestsales18,https://www.twitter.com/Bestsales18,"ID: 1378512092441944070",40,16,567,no,"2021-04-04 00:57:49","@KemensetnegRI Cara ngindang pak persiden gmana min?? Tetangga gw mau nikahan,sama ko mash warga indonesia...","Twitter for Android",https://www.twitter.com/Bestsales18/status/1378512092441944070
23,,Del'v.,Delv44142652,https://www.twitter.com/Delv44142652,"ID: 1378523128918208517",3138,618,12155,no,"2021-04-04 01:41:40","@KemensetnegRI Melihat ini kasihan dibentak² sambil tangannya di pinggang, padahal dibilangin secara santun jg pasti akan mengerti.Apakah mas Anang kemarin sempat diginikan juga sama petugas ?https://t.co/XvQVXPFIrv","Twitter Web App",https://www.twitter.com/Delv44142652/status/1378523128918208517
24,,MayaFarrell21,MayaFarrell21,https://www.twitter.com/MayaFarrell21,"ID: 1378524169336352772",75,5,368,no,"2021-04-04 01:45:48","@KemensetnegRI Hmm https://t.co/MkAOLC3cUk","Twitter for Android",https://www.twitter.com/MayaFarrell21/status/1378524169336352772
25,,KopatKopit_2021,Paseo_2021,https://www.twitter.com/Paseo_2021,"ID: 1378528108253343745",154,7,917,no,"2021-04-04 02:01:27","@KemensetnegRI Acara Atta &amp; Aurel ga akan kena pelanggaran protokol kesehatan krn acaranya bukan di Petamburan. https://t.co/mk0YfnzIPX","Twitter for Android",https://www.twitter.com/Paseo_2021/status/1378528108253343745
26,,Dondong,dirga_90,https://www.twitter.com/dirga_90,"ID: 1378536715556544513",8,0,158,no,"2021-04-04 02:35:39","@KemensetnegRI Ganti aja nama akunnya min. Sekretariat keluarga pakde lebih cocok.","Twitter for Android",https://www.twitter.com/dirga_90/status/1378536715556544513
27,,"𝐍𝐜𝐚𝐧𝐠 𝐖𝐚𝐰𝐚𝐧",Ridwan1924,https://www.twitter.com/Ridwan1924,"ID: 1378537328214298630",109,23,756,no,"2021-04-04 02:38:05","@KemensetnegRI Jika hakim yg punya nurani, maka kasus kerumunan IBHRS hrs gugur batal demi hukum, karna terdapat acara yg sama yg dihadiri kepala negara sbg regulator dan pihak penyelenggara sbg kluarga anggt DPR yg paham hukum hrsnya mnberi contoh ttg UU kekarantinaan dan prokes.","Twitter Web App",https://www.twitter.com/Ridwan1924/status/1378537328214298630
28,,"Bohemian Rhapsody",ntoniusn,https://www.twitter.com/ntoniusn,"ID: 1378537520720318467",139,11,661,no,"2021-04-04 02:38:51","@KemensetnegRI Adik, adik makan dulu ya sayang. Tra usah adik lihat tingkah laku kita punya presiden dan selebritis.Adik pasti kuat.Adik pasti bisa makan.Adik pasti sehat.Kalau Tuhan panggil adik cepat-cepat karena tra bisa makan, pasti Tuhan lebih sayang adik.https://t.co/u7nJbe7rCI https://t.co/Jzn1WidTxh","Twitter for Android",https://www.twitter.com/ntoniusn/status/1378537520720318467
29,,Toejoe,Toejoe48827068,https://www.twitter.com/Toejoe48827068,"ID: 1378541353806700547",5,0,31,no,"2021-04-04 02:54:05","@KemensetnegRI https://t.co/j473DL8uAg","Twitter for Android",https://www.twitter.com/Toejoe48827068/status/1378541353806700547
30,,"selling bread",bread_selling,https://www.twitter.com/bread_selling,"ID: 1378543500216528896",8,2,271,no,"2021-04-04 03:02:37","@KemensetnegRI Skrng kala mau hajatan aman, tinggal undang jokowi ajah..Udah gitu ngamplopnya pasti lbh dri 5 juta..Lumayan buat bayar tenda..","Twitter Web App",https://www.twitter.com/bread_selling/status/1378543500216528896
