"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.310653900E-2,-2.508735657E-2,3.400045633E-2,2.660655975E-1
4.909775000E-2,2.070754766E-3,7.862895727E-2,1.618356705E-1
6.505844300E-2,1.127189398E-2,7.945084572E-2,-1.866340637E-3
8.101913700E-2,3.116764128E-2,8.737039566E-2,-5.770874023E-2
9.694931200E-2,1.633985341E-2,7.868230343E-3,1.431846619E-2
1.128489710E-1,-1.884502172E-2,5.988776684E-2,-3.921890259E-2
1.288096640E-1,-1.309165359E-2,-5.722355843E-2,-3.081884384E-1
1.447703570E-1,-1.065334678E-2,-2.492451668E-2,3.547840118E-1
1.607615680E-1,-2.836565673E-2,-2.797269821E-2,-3.456516266E-1
1.767222620E-1,-8.922129869E-3,-4.617542028E-2,3.651981354E-1
1.927439900E-1,-9.087115526E-3,1.095694304E-2,-2.428979874E-1
2.086741660E-1,3.801430762E-2,7.168650627E-3,1.400890350E-1
2.246653770E-1,1.206161082E-2,7.755190134E-2,7.138442993E-2
2.406565880E-1,-1.796677709E-2,2.704513073E-2,-2.709932327E-1
2.566172810E-1,-2.911286056E-2,5.564743280E-2,2.305307388E-1
2.725474570E-1,-1.804412901E-2,1.996368170E-2,-2.550010681E-1
2.885691860E-1,2.527318895E-2,-2.012205124E-2,3.108749390E-1
3.045298790E-1,2.592161298E-2,-1.777875423E-2,-1.347923279E-1
3.205516070E-1,5.933535099E-2,-9.236419201E-2,5.385017395E-2
3.365123010E-1,3.236645460E-2,-4.487240314E-2,1.743412018E-2
3.524119590E-1,9.224608541E-3,-1.006767750E-1,-3.589916229E-2
3.683726520E-1,5.599558353E-4,-5.823040009E-2,3.176164627E-1
3.843638630E-1,-7.539868355E-3,-4.683429003E-2,-1.524534225E-1
4.003550740E-1,3.710457683E-2,-5.068790913E-2,3.208675385E-1
4.163157680E-1,2.430577576E-2,-9.600639343E-3,-2.448482513E-1
4.323069780E-1,3.032882512E-2,-3.181010485E-2,1.709756851E-1
4.482371540E-1,2.525836229E-3,-1.144111156E-3,-2.388191223E-2
4.642283650E-1,1.817969978E-2,-7.630342245E-2,-2.968978882E-2
4.802195760E-1,2.504719794E-2,-4.556339979E-2,3.691291809E-1
4.961802700E-1,-1.086817682E-2,-5.784028769E-2,-5.788135529E-2
5.121409630E-1,1.719386876E-2,-1.440918446E-2,4.586725235E-1
5.281321740E-1,-1.104295254E-3,-1.196581125E-2,-1.880693436E-1
5.440928670E-1,2.633288503E-2,-5.316025019E-2,1.085414886E-1
5.600840780E-1,1.521004736E-2,2.021074295E-3,3.387928009E-2
5.760447710E-1,-1.193523407E-2,-6.852409244E-2,-1.008605957E-1
5.919749470E-1,2.119034529E-2,-4.213052988E-2,2.519702911E-2
6.079661580E-1,7.080318034E-2,-5.090996623E-2,2.302408218E-1
6.239268520E-1,9.513998032E-2,-7.870197296E-2,1.314630508E-1
6.399485800E-1,8.754033595E-2,-8.548578620E-2,-1.682443619E-1
6.559092730E-1,5.202633888E-2,-8.188369870E-2,-1.687774658E-1
6.718089320E-1,-2.645082772E-2,-2.865076065E-2,1.485919952E-2
6.877696250E-1,-1.041686535E-1,-1.049393415E-2,2.391538620E-1
7.037303180E-1,-9.061251581E-2,2.615481615E-2,4.182338715E-1
7.197215290E-1,-2.673000097E-3,8.234560490E-3,2.673339844E-1
7.357127400E-1,5.586963892E-2,-8.586138487E-3,-8.441448212E-2
7.516734340E-1,6.282492727E-2,-3.918132186E-2,-2.902708054E-1
7.676951620E-1,-1.255042851E-2,-4.654759169E-2,-2.092390060E-1
7.836558550E-1,-5.309389532E-2,-8.093246818E-2,2.954864502E-2
7.996165490E-1,-4.117740691E-2,-9.083256125E-2,2.085103989E-1
8.156077600E-1,5.129918456E-3,-1.141336858E-1,1.865472794E-1
8.315989710E-1,2.761965245E-2,-1.100946069E-1,4.982948303E-2
8.475596640E-1,4.913370311E-2,-7.086017728E-2,-3.419876099E-2
8.635508750E-1,7.740616798E-3,-2.049398422E-2,3.809928894E-3
8.795420860E-1,-7.203489542E-3,2.409967780E-2,7.529067993E-2
8.955027790E-1,-3.734886646E-3,3.445839882E-2,1.204595566E-1
9.115245080E-1,-1.099959016E-3,5.139291286E-3,6.275749207E-2
9.274546840E-1,2.767514437E-2,-3.155288100E-2,-9.785270691E-2
9.434458950E-1,4.019042850E-2,-5.867716670E-2,-1.580142975E-1
9.594371050E-1,-7.966473699E-3,-6.535264850E-2,2.826213837E-2
9.753977990E-1,-4.164882004E-2,-7.459926605E-2,2.097730637E-1
9.913584920E-1,-1.481346786E-2,-4.454162717E-2,1.903181076E-1
1.007319186E0,3.627727181E-2,-1.833379269E-2,7.283210754E-2
1.023279879E0,4.895410687E-2,-1.163014770E-2,-1.112365723E-2
1.039301607E0,5.455030501E-2,-2.629670501E-2,-5.445194244E-2
1.055262301E0,-4.223510623E-3,-3.253144026E-2,-2.605247498E-2
1.071222994E0,-6.318591535E-2,-4.645781219E-2,2.624607086E-2
1.087214205E0,-3.039523959E-2,-6.632082164E-2,5.239391327E-2
1.103144381E0,9.303092957E-4,-7.039485872E-2,9.021091461E-2
1.119135592E0,3.901274502E-2,-9.510822594E-2,5.209436417E-1
1.135126803E0,2.967372537E-3,-7.901006937E-2,-4.249267578E-1
1.151056978E0,3.120309114E-2,-1.168170497E-1,6.336021423E-2
1.167048189E0,-7.845178246E-3,-4.066006839E-2,-1.115274429E-1
1.183008883E0,2.264236659E-2,-6.419612467E-2,1.326093674E-1
1.199000094E0,-8.540272713E-3,-1.407884061E-2,3.193597794E-1
1.215021822E0,-8.042588830E-3,-3.619565070E-2,8.725166321E-2
1.230951998E0,-1.165248454E-2,-6.358364224E-2,1.066732407E-1
1.246973727E0,-7.809638977E-3,-7.352250814E-2,1.166391373E-1
1.262934420E0,1.449689269E-3,-7.482932508E-2,1.123609543E-1
1.278895113E0,2.474257350E-2,-7.804566622E-2,5.070781708E-2
1.294886324E0,1.179581881E-2,-6.635645032E-2,-2.768516541E-2
1.310847018E0,-1.527653635E-2,-2.368614078E-2,-1.085062027E-1
1.326807711E0,-1.818266511E-2,1.310676336E-3,-8.887195587E-2
1.342768404E0,-4.268959165E-3,-5.862116814E-5,-4.775619507E-2
1.358759615E0,-2.176813781E-2,1.463860273E-3,4.602241516E-2
1.374720309E0,-1.002502441E-2,-3.409603238E-2,1.063461304E-1
1.390711520E0,4.300624132E-4,-6.039535999E-2,1.380758286E-1
1.406641695E0,1.538625360E-2,-7.651150227E-2,6.215953827E-2
1.422632906E0,3.861988336E-2,-6.109526753E-2,-1.047477722E-1
1.438624117E0,1.935759187E-2,-4.628878832E-2,-1.664972305E-1
1.454584811E0,-2.239838243E-3,1.325589418E-2,-2.251338959E-2
