"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.246203040E-1,4.356396198E-2,3.418946266E-2,4.366874695E-2
9.346605870E-1,4.818177223E-2,-3.736454248E-2,-8.646965027E-3
9.446703530E-1,2.423876524E-2,2.516120672E-2,6.055831909E-3
9.546801180E-1,-2.354973555E-2,-2.778410912E-3,-4.571437836E-2
9.647204020E-1,5.280256271E-3,-2.051252127E-2,-2.100276947E-2
9.747301670E-1,-1.444011927E-2,-3.132820129E-4,-1.080513000E-3
9.847399330E-1,-1.061439514E-2,1.943159103E-2,2.341175079E-2
9.947802160E-1,-1.669615507E-2,2.011692524E-2,2.826690674E-2
1.004789982E0,-8.292555809E-3,4.396218061E-2,-4.918098450E-3
1.014830265E0,-4.242795706E-2,3.422331810E-2,5.690670013E-2
1.024840031E0,-2.850395441E-2,4.308396578E-2,-3.837299347E-2
1.034849796E0,-2.343958616E-2,1.370823383E-2,1.475715637E-2
1.044890079E0,-8.485138416E-3,2.702188492E-2,-4.680061340E-2
1.054899845E0,-2.617567778E-2,2.956688404E-3,-7.975578308E-3
1.064909611E0,2.731686831E-2,7.672369480E-3,1.626586914E-2
1.074949894E0,6.032949686E-2,3.454566002E-3,-1.626968384E-2
1.084990177E0,3.994637728E-2,-5.732178688E-4,2.200794220E-2
1.094999943E0,5.562722683E-3,-2.828884125E-2,-6.377220154E-3
1.105009708E0,1.960295439E-2,-3.190839291E-2,-6.274414062E-2
1.115019474E0,1.552462578E-2,-2.517449856E-2,-4.690074921E-2
1.125059757E0,7.645308971E-3,-1.801931858E-2,-3.110027313E-2
1.135069523E0,-4.330343008E-2,-3.375148773E-2,3.180885315E-2
1.145109806E0,-1.331526041E-2,-1.584780216E-2,6.519889832E-2
1.155119572E0,-1.705205441E-2,1.979035139E-2,7.886695862E-2
1.165159855E0,-5.430567265E-2,3.932195902E-2,1.252145767E-1
1.175169620E0,-5.785226822E-2,6.684398651E-2,1.235561371E-1
1.185209904E0,-6.104832888E-2,6.875628233E-2,8.832073212E-2
1.195219669E0,-1.167386770E-2,7.403993607E-2,1.618194580E-2
1.205229435E0,4.248797894E-3,9.375888109E-2,-7.367706299E-2
1.215269718E0,2.026516199E-2,8.144205809E-2,-1.715822220E-1
1.225279484E0,4.049557447E-2,6.640458107E-2,-1.491622925E-1
1.235319767E0,7.440268993E-3,2.012920380E-2,-1.221303940E-1
1.245329532E0,1.632869244E-2,-1.941007376E-2,-7.212734222E-2
1.255339298E0,-2.309185266E-2,-2.951788902E-2,-8.819580078E-3
1.265379581E0,3.691244125E-2,-6.380093098E-2,2.503776550E-2
1.275389347E0,-1.718062162E-2,-7.006442547E-2,6.311416626E-2
1.285399113E0,-3.215110302E-2,-1.059896350E-1,4.366683960E-2
1.295439396E0,-8.283853531E-3,-5.724877119E-2,2.888965607E-2
1.305449161E0,1.338601112E-3,-5.366027355E-3,9.920120239E-3
1.315489445E0,-1.812607050E-2,-5.954027176E-3,-4.660987854E-2
1.325499210E0,9.697675705E-3,4.122114182E-2,-2.940177917E-3
1.335508976E0,2.761358023E-2,2.143359184E-2,-1.652145386E-2
1.345549259E0,5.431288481E-2,4.006505013E-2,-1.627922058E-3
1.355559025E0,-1.464444399E-2,2.939736843E-2,6.935214996E-2
1.365568790E0,-2.543395758E-2,6.125247478E-2,4.954338074E-2
1.375609073E0,-2.083718777E-2,5.444467068E-2,-7.555007935E-3
1.385618839E0,-6.029069424E-3,2.937114239E-2,-7.305240631E-2
1.395628605E0,-1.019239426E-5,5.301702023E-2,-1.281700134E-1
1.405638370E0,-2.280074358E-2,4.944002628E-2,-1.251630783E-1
1.415678654E0,1.597464085E-3,6.167721748E-2,-8.904361725E-2
1.425688419E0,-1.381099224E-2,-1.826643944E-3,4.550933838E-2
1.435728702E0,7.784008980E-3,-3.187644482E-2,7.844638824E-2
1.445738468E0,-9.069442749E-3,-1.122713089E-2,9.654998779E-2
1.455778751E0,-1.149952412E-2,-1.179742813E-2,3.846645355E-2
