"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.406350815E0,7.565613091E-2,1.468940079E-2,-2.319335938E-2
1.422342026E0,5.311164260E-2,2.098929882E-2,-5.938339233E-2
1.438333237E0,9.290874004E-3,-1.758974791E-2,-7.883167267E-2
1.454293930E0,-7.384166121E-3,-5.364271253E-2,-4.796600342E-2
1.470254624E0,1.829540730E-2,-7.710447162E-2,1.026678085E-1
1.486215317E0,5.381116271E-2,-1.053499281E-1,1.767473221E-1
1.502176010E0,1.024062485E-1,-1.119139642E-1,1.574926376E-1
1.518167221E0,9.694804251E-2,-9.847135842E-2,4.967117310E-2
1.534158432E0,7.385995984E-2,-7.168918848E-2,-4.135894775E-2
1.550149643E0,5.916862190E-2,-3.617842495E-2,-2.940940857E-2
1.566110336E0,2.123519778E-2,1.070304960E-2,5.197334290E-2
1.582101547E0,3.947255015E-2,3.651724011E-2,3.997898102E-2
1.598092758E0,5.286689103E-2,4.019434005E-2,-1.030254364E-2
1.614053452E0,3.158648312E-2,2.167667821E-2,-6.933212280E-4
1.630075180E0,3.118497133E-2,-7.252413779E-3,8.316230774E-2
1.646035874E0,4.964810610E-2,-5.687083304E-2,1.406917572E-1
1.662057602E0,4.668869078E-2,-9.209453315E-2,1.646928787E-1
1.678018295E0,3.754249215E-2,-8.929126710E-2,1.575393677E-1
1.693948471E0,7.021082938E-2,-7.359180599E-2,-2.442073822E-2
1.709939682E0,4.897901416E-2,-4.615706950E-2,-2.398586273E-1
1.725900375E0,2.569471300E-2,-3.496114910E-2,-2.229681015E-1
1.741891586E0,7.395237684E-3,-9.702831507E-3,9.564876556E-2
1.757882797E0,7.218107581E-3,-2.416818589E-2,3.879117966E-1
1.773874008E0,1.770843565E-2,-4.214175045E-2,3.568897247E-1
1.789895737E0,2.289231122E-2,-6.739270687E-2,-4.292106628E-2
1.805856430E0,2.253033221E-2,-9.905993938E-2,-1.554479599E-1
1.821847641E0,-1.251958311E-2,-6.712312996E-2,-5.239486694E-2
1.837869370E0,-1.235865057E-2,-5.305640399E-2,-3.969526291E-1
1.853799545E0,1.137821823E-1,2.647188306E-2,1.276988983E-1
1.869790756E0,1.254253685E-1,-4.601800442E-2,5.829753876E-1
1.885751450E0,8.184060454E-2,-6.127558649E-2,3.800392151E-3
1.901773178E0,4.073989391E-2,-6.165759265E-2,-3.121395111E-1
1.917733872E0,1.994237304E-2,-2.665407956E-2,-7.254791260E-2
1.933694565E0,2.536997199E-3,7.367432117E-3,2.246847153E-1
1.949685776E0,-7.100656629E-3,3.211620450E-2,4.596681595E-1
1.965646469E0,-1.618777215E-2,7.106229663E-3,3.305101395E-1
1.981637680E0,2.116657794E-2,-3.252305090E-2,-5.507564545E-2
1.997628891E0,5.373521149E-2,-6.714685261E-2,-2.395420074E-1
2.013589584E0,2.665591240E-2,-9.181866050E-2,-2.035741806E-1
2.029580795E0,2.895027399E-3,-8.900192380E-2,-1.898956299E-2
2.045541489E0,2.321916819E-2,-7.737195492E-2,1.512584686E-1
2.061563217E0,4.702028632E-2,-9.985139966E-2,2.136754990E-1
2.077523911E0,4.282630980E-2,-7.366901636E-2,1.395034790E-1
2.093484604E0,2.485384047E-2,-3.764724731E-2,-4.168510437E-3
2.109445297E0,1.452514529E-2,1.445358992E-2,-9.752559662E-2
2.125405991E0,2.245101333E-2,3.414644301E-2,4.173603058E-1
2.141427719E0,-3.309918940E-2,7.789789140E-2,9.437274933E-2
2.157388413E0,5.755649507E-2,-4.518392682E-2,2.214040756E-1
2.173349106E0,8.102919161E-2,-3.276783228E-2,1.185255051E-1
2.189309799E0,6.156374514E-2,-1.058482230E-1,-3.816499710E-1
2.205270493E0,7.241502404E-3,-6.780508161E-2,5.188884735E-1
2.221292221E0,-1.738417149E-2,-4.360279441E-2,2.509546280E-1
2.237252915E0,2.217723429E-2,-3.960222006E-3,1.217775345E-1
2.253213608E0,3.706963360E-2,3.994807601E-2,-8.885002136E-2
2.269174301E0,5.095037818E-2,3.918963671E-2,-1.389884949E-1
