"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.376121428E0,1.789298281E-2,-5.825746059E-2,2.053070068E-2
1.392112638E0,1.114420593E-2,2.308663726E-2,-9.426116943E-2
1.408073332E0,4.937343299E-3,9.096759558E-2,-7.260227203E-2
1.424064543E0,-7.244698238E-3,1.205462813E-1,3.757572174E-2
1.439964201E0,-1.579574309E-2,9.811437130E-2,1.755714417E-3
1.455924894E0,1.196181122E-2,5.550518632E-2,-1.250829697E-1
1.471855070E0,-5.353577435E-4,-7.276982069E-3,-2.936840057E-2
1.487876799E0,-2.530283108E-2,-1.695308089E-2,1.022472382E-1
1.503806974E0,-3.067747690E-2,4.130870104E-3,1.525392532E-1
1.519828703E0,8.934808895E-3,1.242592931E-2,8.082199097E-2
1.535789396E0,2.153252624E-2,1.983314753E-2,-3.875064850E-2
1.551750090E0,5.790654570E-3,5.061113834E-2,-3.866577148E-2
1.567680265E0,-2.041320689E-2,3.861439228E-2,-4.824256897E-2
1.583640959E0,-4.063268006E-2,-8.365511894E-5,-2.196884155E-2
1.599662687E0,-4.195098579E-2,-1.679703593E-2,2.344703674E-2
1.615653898E0,-4.156680405E-2,-3.632685542E-2,4.014682770E-2
1.631645109E0,-2.703779191E-2,-3.309589624E-2,2.815055847E-2
1.647605803E0,-2.294871025E-3,-1.640740037E-2,1.857471466E-2
1.663566496E0,-1.391943544E-3,1.400387287E-2,3.056621552E-2
1.679588224E0,2.062700316E-2,3.969678283E-2,4.016017914E-2
1.695579435E0,6.562142633E-3,8.306261897E-2,-3.167438507E-2
1.711570646E0,-1.764724776E-2,8.177834749E-2,-2.452373505E-2
1.727531340E0,-5.150796473E-2,5.696755648E-2,3.289318085E-2
1.743492033E0,-3.500865772E-2,3.859099746E-2,7.596683502E-2
1.759391691E0,-2.035264298E-2,1.402536035E-2,3.528308868E-2
1.775382902E0,1.627784036E-2,-1.138713956E-2,6.594657898E-3
1.791343595E0,3.638834506E-2,-2.249196172E-2,9.032249451E-3
1.807365324E0,-1.256622560E-2,-1.177147031E-2,4.019260406E-2
1.823356535E0,-2.298386954E-2,-5.688816309E-3,1.867580414E-2
1.839347746E0,-1.048053987E-2,8.388906717E-3,-9.144973755E-2
1.855308439E0,-9.244809859E-3,1.806005836E-2,-1.561660767E-1
1.871238615E0,-5.897610448E-3,1.872590184E-2,-7.492065430E-2
1.887199308E0,1.080281287E-2,2.721464634E-2,1.403846741E-1
1.903160002E0,-3.221538663E-2,9.282857180E-3,2.911844254E-1
1.919181730E0,-7.580450177E-2,1.729178429E-2,1.525020599E-1
1.935203459E0,-4.273948818E-2,2.444362640E-2,-9.621334076E-2
1.951194670E0,-1.048318110E-3,2.322939038E-2,-1.965875626E-1
1.967185881E0,2.541308478E-2,5.917391181E-2,-3.163671494E-1
1.983146574E0,6.566394120E-2,8.416375518E-2,1.046981812E-1
1.999168303E0,3.127407283E-2,3.358170390E-2,5.689105988E-1
2.015159513E0,2.680908516E-2,-3.116673231E-2,9.253787994E-2
2.031150724E0,-3.353274614E-2,-6.384217739E-2,-4.842815399E-1
2.047050383E0,-3.650351614E-2,-6.714403629E-2,-4.986944199E-1
2.063041594E0,-5.086241290E-2,-9.340107441E-3,-2.498912811E-2
2.078941252E0,-4.506358504E-2,6.447577477E-2,6.331062317E-1
2.094901945E0,-3.473880515E-2,9.612897038E-2,7.361698151E-1
2.110832121E0,4.698731750E-2,1.013351977E-1,1.358108521E-1
2.126792814E0,4.609220475E-2,1.030825078E-1,-1.818771362E-1
2.142784025E0,-7.243553549E-2,-7.461577654E-3,-7.584800720E-1
2.158775236E0,-6.779161841E-2,1.159974933E-2,1.583499908E-1
2.174766447E0,-8.633804321E-2,-3.768995404E-2,-3.089990616E-1
2.190696623E0,8.818402886E-3,-8.189474046E-2,7.177162170E-1
2.206657316E0,3.297362477E-3,-4.392835498E-2,4.960155487E-2
2.222618010E0,-1.530777197E-2,-3.752982616E-2,5.208301544E-2
2.238578703E0,-4.796112329E-2,1.695907116E-2,-6.747341156E-2
2.254569914E0,-2.449015528E-2,8.673420548E-2,-2.424621582E-2
2.270530607E0,-1.894205436E-2,1.381694973E-1,3.093051910E-2
2.286552336E0,-4.086479545E-3,1.139203906E-1,-2.398204803E-2
2.302543547E0,5.877096578E-2,6.135419011E-2,-1.675643921E-1
